类别,实例数,最小面积,最大面积,平均面积
Sky,576,3156,312003,103375.734375
Building,563,1335,461831,166015.88809946715
Pole,576,51,31767,7132.723958333333
Road,577,102416,304034,206902.67417677643
LaneMarking,573,27,94761,13104.856893542757
SideWalk,548,156,106467,49266.3503649635
Pavement,0,0,0,0
Tree,513,478,226795,72188.08771929824
SignSymbol,380,7,18151,1448.9552631578947
Fence,323,100,96501,19830.22291021672
Car_Bus,560,99,161426,25084.505357142858
Pedestrian,577,204,184947,32155.369150779898
Bicyclist,290,10,56902,7254.341379310345
Unlabelled,577,2,216768,15805.395147313691
