类别,像素数,占比,百分比
Sky,59544423,0.14930059846187174,14.930059846187174
Building,93466945,0.23435731042188201,23.435731042188202
Pole,4108449,0.010301449968707877,1.0301449968707876
Road,119382843,0.29933835963075295,29.933835963075296
LaneMarking,7509083,0.018828137536908658,1.8828137536908658
SideWalk,26997960,0.06769419170036588,6.7694191700365876
Pavement,0,0.0,0.0
Tree,37032489,0.09285458640236857,9.285458640236858
SignSymbol,550603,0.001380571903684447,0.13805719036844472
Fence,6405162,0.016060186188137877,1.6060186188137877
Car_Bus,14047323,0.035222001071153475,3.5222001071153475
Pedestrian,18553648,0.04652107805379036,4.652107805379036
Bicyclist,2103759,0.0052749268847487,0.52749268847487
Unlabelled,9119713,0.022866601775627448,2.286660177562745
